"#""+ BPC Scan stir_75um_sp-r002.d """,,
#Point,X(Minutes),Y(Counts)
923,15.405,1061
924,15.422,1695
925,15.438,1459
926,15.455,1128
927,15.472,1314
928,15.488,1426
929,15.505,1883
930,15.522,2080
931,15.538,2698
932,15.555,3037
933,15.572,3270
934,15.588,3509
935,15.605,4248
936,15.621,4659
937,15.638,4435
938,15.655,5126
939,15.671,5386
940,15.688,5144
941,15.705,5404
942,15.721,6252
943,15.738,6854
944,15.754,6874
945,15.771,7749
946,15.788,7957
947,15.804,7815
948,15.821,9383
949,15.838,8712
950,15.854,8253
951,15.871,8606
952,15.888,8934
953,15.904,7495
954,15.921,7276
955,15.937,8029
956,15.954,7431
957,15.971,7313
958,15.987,6887
959,16.004,6417
960,16.021,6297
961,16.037,6028
962,16.054,6298
963,16.071,6121
964,16.087,5903
965,16.104,5672
966,16.12,10259
967,16.137,15243
968,16.154,24077
969,16.17,41557
970,16.187,55609
971,16.204,79522
972,16.22,105552
973,16.237,129334
974,16.253,152314
975,16.27,178514
976,16.287,195731
977,16.303,211152
978,16.32,226170
979,16.337,226920
980,16.353,243792
981,16.37,256905
982,16.387,264905
983,16.403,276859
984,16.42,290376
985,16.436,300071
986,16.453,308481
987,16.47,302300
988,16.486,321641
989,16.503,315518
990,16.52,308692
991,16.536,301855
992,16.553,308130
993,16.57,283257
994,16.586,258014
995,16.603,234913
996,16.619,206920
997,16.636,173966
998,16.653,146965
999,16.669,112400
1000,16.686,92324
1001,16.703,71047
1002,16.719,52350
1003,16.736,45107
1004,16.752,34904
1005,16.769,29667
1006,16.786,25894
1007,16.802,19800
1008,16.819,16071
1009,16.836,17219
1010,16.852,13408
1011,16.869,12848
1012,16.886,15023
1013,16.902,12590
1014,16.919,10656
1015,16.935,11779
1016,16.952,9141
1017,16.969,9442
1018,16.985,9283
1019,17.002,7368
1020,17.019,8376
1021,17.035,6254
1022,17.052,6346
1023,17.069,5873
1024,17.085,5304
1025,17.102,5728
1026,17.118,5277
1027,17.135,5396
1028,17.152,5490
1029,17.168,5272
1030,17.185,5496
1031,17.202,5822
1032,17.218,6794
1033,17.235,6162
1034,17.251,6811
1035,17.268,6627
1036,17.285,7749
1037,17.301,5594
1038,17.318,7327
1039,17.335,7930
1040,17.351,7734
1041,17.368,7299
1042,17.385,6680
1043,17.401,7466
1044,17.418,7141
1045,17.434,7825
1046,17.451,5918
1047,17.468,6667
1048,17.484,9555
1049,17.501,5989
1050,17.518,7797
1051,17.534,10446
1052,17.551,17382
1053,17.568,22579
1054,17.584,32230
1055,17.601,42811
1056,17.617,49390
1057,17.634,53870
1058,17.651,69170
1059,17.667,72402
1060,17.684,81605
1061,17.701,87558
1062,17.717,90768
1063,17.734,87339
1064,17.75,90180
1065,17.767,90828
1066,17.784,92017
1067,17.8,99651
1068,17.817,100337
1069,17.834,88741
1070,17.85,95151
1071,17.867,88532
1072,17.884,89994
1073,17.9,88575
1074,17.917,94389
1075,17.933,92702
1076,17.95,82909
1077,17.967,85990
1078,17.983,82553
1079,18,84032
1080,18.017,71890
1081,18.033,72516
1082,18.05,67483
1083,18.067,72779
1084,18.083,71207
1085,18.1,61680
1086,18.116,57316
1087,18.133,44271
1088,18.15,44692
1089,18.166,34875
1090,18.183,31142
1091,18.2,25093
1092,18.216,20279
1093,18.233,17970
1094,18.249,12184
1095,18.266,11444
1096,18.283,9273
1097,18.299,7672
1098,18.316,7653
1099,18.333,7269
1100,18.349,5939
1101,18.366,5234
1102,18.383,4799
1103,18.399,4047
1104,18.416,4285
1105,18.432,4356
1106,18.449,3551
1107,18.466,4270
1108,18.482,4461
1109,18.499,4059
1110,18.516,3913
1111,18.532,2774
1112,18.549,4419
