CHROMATOGRAM,
Hela10k10.raw,
Data points: 3444,
Time,Intensity
21.24760242,1602606.75
21.30775644,939331.9375
21.36909544,438359.1563
21.42962105,306587.625
21.48948143,1139318.875
21.54308602,8015433.5
21.60529095,18011432
21.6655944,11229252
21.72780602,3962713.25
21.78953664,2698217
21.84962007,1716970.5
21.90972537,6154132
21.96784015,9014145
22.02781792,7731008
22.08779982,6077619
22.1499336,3877742.25
22.21218455,2437222
22.2722924,2217275
22.33237607,1498699.75
22.3947256,1257385.5
22.45592909,1032345.75
22.51612,1299458.625
22.5780723,1483699.75
22.63832165,703614.9375
22.6984608,821790.5
22.76071537,1207223.25
22.81947672,1859629
22.8776865,1448307.375
22.93777635,802560.875
22.99615763,929597.5625
23.05704532,671642.0625
23.11707117,352302.2188
23.1785446,250150.1094
23.23876509,234956.3906
23.30133518,534192.375
23.33936427,770620.5
23.39873908,694661
23.4367978,807916.4375
23.46135617,504070.25
23.52047598,432687.6875
23.55176565,988384.9375
23.59672062,3401591.5
23.65667965,9040348
23.71659347,9050177
23.77649605,8507103
23.83628592,19180328
23.89445077,22437542
23.95432709,12896791
24.01427128,3696442
24.07264737,927786.5625
24.13145675,1770577
24.1919864,1914285.25
24.25170372,1084565.375
24.311618,545262.25
24.3728107,130242.4531
24.43507957,111028.6953
24.4532377,140292.6875
24.47119979,88582.41406
24.48926915,110161.5781
24.50721368,84962.77344
24.53317527,56407.28906
24.56029442,73975.3125
24.57839822,71555.76563
24.59634092,78384.00781
24.61432089,84588.49219
24.63966482,84176.1875
24.68664487,35898.73047
24.70493705,61789.70313
24.7229775,45429.68359
24.74136982,36074.77344
24.75963533,27447.53125
24.77815003,60413.31641
24.79633117,34064.26172
24.8147286,59569.89453
24.83287895,63426.29297
24.85987042,99092.36719
24.87798613,103789.9219
24.89625084,187468.25
24.91429067,179808.6094
24.94781253,427078.6563
24.99468132,1034458.75
25.04641482,2687066
25.1046297,3570554.25
25.16549337,3653444
25.2255135,1434613.25
25.28572045,433296.6563
25.3477563,378909.2188
25.38569139,697844.3125
25.43808514,1175448.5
25.49090509,1367664.625
25.53768562,942474.875
25.59677188,432877.4375
