CHROMATOGRAM,
hela10k06.raw,
Data points: 3302,
Time,Intensity
13.77839991,10730.46973
13.80122709,19054.08398
13.82388779,11035.23145
13.84673269,14367.9834
13.86996676,10837.70898
13.89196956,19357.17578
13.91510013,10097.45606
13.93767412,10931.66309
13.95972231,11274.56738
13.98256956,12930.85352
14.00496141,10290.19043
14.02744884,11594.2168
14.04980884,10542.89063
14.07235002,10536.47754
14.09499911,10825.78809
14.11758232,12209.08496
14.13997004,9541.010742
14.16278439,12692.26563
14.18603351,10779.10059
14.20855199,11072.70898
14.23170718,9004.568359
14.25463604,9341.005859
14.27793139,8867.423828
14.30055979,10050.51074
14.32291151,12244.20117
14.34550902,9513.091797
14.36845626,9439.685547
14.39108272,16169.49805
14.41410911,10126.58496
14.43677483,7864.994629
14.46085343,7022.208008
14.49544109,3602.456299
14.53003944,3078.268555
14.55172948,12617.1377
14.58632143,6199.188477
14.62031231,5307.776367
14.65099543,5222.316895
14.67805271,5171.269531
14.70219329,9711.341797
14.72546742,12285.63477
14.74765106,11850.61523
14.77125559,7800.176758
14.79515372,3353.397217
14.81856564,8140.289063
14.84391201,2369.918213
14.86613694,3280.0896
14.88706673,6929.712402
14.90832089,8409.648438
14.92932666,7735.504395
14.95027103,9188.614258
14.97168316,8843.942383
14.99333321,10841.36719
15.01530933,9226.786133
15.03781289,10397.63672
15.06121936,33896.19531
15.08395127,32338.37305
15.10749641,9115.453125
15.13142747,14132.31738
15.15400898,21442.09766
15.17694179,10198.05566
15.19975251,10665.93652
15.22231666,10787.71973
15.24509649,10538.83496
15.26816978,23047.6543
15.29097594,11425.07227
15.31358741,9149.307617
15.33645309,10985.25391
15.35975362,10880.55664
15.38331093,9242.600586
15.40612861,12320.44238
15.42942853,10107.60352
15.45226784,11407.36426
15.47592296,8883.013672
15.49958954,9880.75293
15.52298596,19231.2168
15.54602487,9539.041992
15.56965616,10174.64941
15.59244319,11943.53223
15.61517834,11151.63379
15.63829591,25939.17383
15.66160299,10211.63965
15.68493441,10101.51172
15.70859584,12836.16406
15.73184243,10956.125
15.75477668,19226.08789
15.77818819,10157.30957
15.80178839,9310.511719
15.82519786,10434.19922
15.84884417,10630.21777
15.87238942,9527.729492
15.89585911,10548.90137
15.91924351,11914.25781
15.94283639,9790.789063
15.96607826,10148.41016
15.99022427,8946.186523
16.01452769,8633.734375
16.03876916,9064.65332
16.06283984,11649.86035
16.08789956,9005.078125
16.11258558,18837.40234
16.13619877,14340.90332
16.16041759,17481.02148
16.18453124,9839.067383
16.20893064,11178.95996
16.23314216,14819.70117
16.25670406,17504.70313
16.28045211,16232.26465
16.30406146,12820.92676
16.32825884,11503.21289
16.35219223,10515.19336
16.37629639,8940.375
16.40038441,8396.072266
16.42446889,9029.978516
16.44836774,8905.173828
16.47192696,13737.31543
16.49527644,25706.93359
16.51883469,16085.65527
16.54296352,25367.65625
16.56703457,9009.577148
16.59094853,13445.05176
16.61474226,12729.33789
16.63878409,9926.606445
16.66285038,9713.419922
16.68669813,13513.9375
16.71103371,29863.75195
16.73433851,10438.34082
16.75755668,10557.69824
16.78112149,9728.975586
16.80455971,9545.876953
16.82829061,9447.614258
16.85183179,11053.02441
16.87608961,12793.98145
16.90047334,13265.73535
16.92454861,12932.2793
16.94877226,12944.01465
16.97314149,10750.77246
16.99706791,10851.49805
17.02165772,7723.169922
17.04631387,9422.588867
17.06968818,14793.86035
17.09343536,9511.735352
17.11757521,10291.11914
17.14155336,11194.01563
17.16563187,9789.798828
17.18972878,10022.37695
17.21328404,10042.6416
17.23701459,9995.94043
17.26080524,11957.5625
17.28504754,12973.60742
17.30941823,41676.23438
17.33368341,21895.89063
17.35768689,20390.06445
17.38272132,7882.34375
17.40697071,10354.11719
17.42996214,10927.06055
17.45369734,38279.19922
17.47677614,14458.45313
17.50049786,11102.57031
17.52414394,10410.98047
17.54819564,9638.832031
17.57183779,13613.61426
17.59577072,11641.16309
17.62000756,10017.09668
17.64356523,12189.09082
17.66856128,14622.13672
17.69347668,11485.55566
17.71798437,13080.8916
17.74211876,14444.33984
17.76652222,14080.3125
17.79078613,10956.80859
17.81522506,12350.35449
17.83886054,13675.99414
17.86249301,12388.91797
17.88650962,12272.4834
17.91032468,12039.23145
17.93400108,12934.41797
17.95775053,11432.7041
17.98137027,13658.73242
18.00548923,13126.08398
18.03017822,11412.64453
18.05499139,14977.9209
18.07898406,11791.19238
18.10276464,12011.06152
18.12656491,13845.03125
18.14988329,10367.80859
18.17421074,12805.06543
18.19798714,12819.05273
18.22199113,12665.01953
18.24619573,11354.20313
18.27051628,15900.72949
18.29504886,13501.5957
18.31886366,27313.07813
18.34250286,15810.85547
18.36695334,14191.85254
18.39125309,11960.48242
18.41569682,13143.03613
18.43927749,11981.31641
18.46339199,10659.84375
18.48760829,11959.2207
18.51234336,12303.6543
18.53630384,12014.7832
18.56042619,52864.51953
18.58460051,17872.61328
18.60826031,13786.23731
18.63223679,16321.52539
18.65626661,12308.00977
18.68020679,18549.31641
18.70397919,13429.98047
18.72784511,10449.00488
18.75189402,11741.47949
18.77603634,37513.38672
18.79999237,60618.76563
18.82388933,124046.3516
18.84659994,302552.3438
18.86890259,521437.2813
18.89980214,678921.375
18.93074406,490388.8438
18.95192207,392846.25
18.97362606,234001.25
18.99538744,128993.7344
19.01707759,82856.36719
19.03957202,50058.55859
19.06205351,36144.88281
19.08462074,32245.58984
19.10720148,68650.13281
19.12932376,116900.3828
19.15080728,170048.3281
19.17259109,157464.3438
19.21260449,275188.5
19.26254601,495030.1563
19.28977754,473189.2813
19.32009402,303472.5
19.34753519,219970.8438
19.36863956,157560.8125
19.39009076,111849.8359
19.41124096,100397.7813
19.43259394,84528.96875
19.45430194,64930.22656
19.47589668,60595.27734
19.49713406,117641.2266
19.51843454,184771.2031
19.53946391,235186.5781
19.57090627,238319.2969
19.59848739,199725.1719
19.62581298,253968.0313
